idmatch,result_finish_match,result_finish_match_prediction,proba_0,proba_1
45459,,1,0.47,0.53
101064,,0,0.5033333333333333,0.49666666666666665
2046,,1,0.45666666666666667,0.5433333333333333
90275,,1,0.49666666666666665,0.5033333333333333
96108,,1,0.4533333333333333,0.5466666666666666
97638,,1,0.42,0.58
71515,,0,0.5666666666666667,0.43333333333333335
93876,,0,0.52,0.48
48569,,1,0.47,0.53
108410,,1,0.4633333333333333,0.5366666666666666
58564,,1,0.4533333333333333,0.5466666666666666
96872,,0,0.5433333333333333,0.45666666666666667
166497,,1,0.4666666666666667,0.5333333333333333
186671,,1,0.48,0.52
20092,,0,0.5633333333333334,0.43666666666666665
98007,,1,0.49,0.51
43567,,0,0.5366666666666666,0.4633333333333333
56089,,1,0.44666666666666666,0.5533333333333333
98817,,1,0.4766666666666667,0.5233333333333333
2990,0.0,0,0.5366666666666666,0.4633333333333333
116791,,0,0.5666666666666667,0.43333333333333335
37793,,0,0.5766666666666667,0.42333333333333334
91984,,1,0.44,0.56
99521,,1,0.45,0.55
150058,,0,0.5333333333333333,0.4666666666666667
50358,,1,0.49666666666666665,0.5033333333333333
126817,,0,0.51,0.49
70871,,1,0.44,0.56
138144,,1,0.25,0.75
147860,,0,0.5366666666666666,0.4633333333333333
182498,,1,0.43,0.57
66509,,0,0.5133333333333333,0.4866666666666667
146749,,0,0.5766666666666667,0.42333333333333334
134702,,1,0.45666666666666667,0.5433333333333333
174201,,1,0.42333333333333334,0.5766666666666667
94170,,1,0.4866666666666667,0.5133333333333333
93224,,1,0.4666666666666667,0.5333333333333333
100071,,0,0.6166666666666667,0.38333333333333336
101383,,1,0.47333333333333333,0.5266666666666666
41968,,0,0.5833333333333334,0.4166666666666667
110285,,0,0.5066666666666667,0.49333333333333335
4287,,1,0.37333333333333335,0.6266666666666667
136460,,0,0.5266666666666666,0.47333333333333333
20011,,1,0.47333333333333333,0.5266666666666666
69186,,0,0.5433333333333333,0.45666666666666667
49653,,1,0.45666666666666667,0.5433333333333333
15813,,1,0.4633333333333333,0.5366666666666666
135663,,0,0.5,0.5
78154,,0,0.5466666666666666,0.4533333333333333
29259,,0,0.51,0.49
34409,,0,0.5333333333333333,0.4666666666666667
153953,,1,0.43666666666666665,0.5633333333333334
46033,,1,0.44333333333333336,0.5566666666666666
137029,,1,0.44333333333333336,0.5566666666666666
86254,,1,0.44666666666666666,0.5533333333333333
65159,,1,0.49333333333333335,0.5066666666666667
106458,,1,0.42333333333333334,0.5766666666666667
24182,,1,0.3566666666666667,0.6433333333333333
158711,,1,0.44333333333333336,0.5566666666666666
25935,,1,0.43666666666666665,0.5633333333333334
65305,,0,0.5033333333333333,0.49666666666666665
57014,,1,0.42,0.58
86161,,1,0.44666666666666666,0.5533333333333333
154490,,0,0.5133333333333333,0.4866666666666667
103399,,0,0.6366666666666667,0.36333333333333334
158642,,1,0.4766666666666667,0.5233333333333333
138744,,1,0.43666666666666665,0.5633333333333334
88973,,0,0.5066666666666667,0.49333333333333335
56445,,1,0.47,0.53
155251,,1,0.41,0.59
101140,,1,0.47,0.53
172605,,1,0.4866666666666667,0.5133333333333333
125491,,0,0.5066666666666667,0.49333333333333335
174355,,0,0.54,0.46
47595,,0,0.57,0.43
101769,,0,0.58,0.42
36950,,0,0.5066666666666667,0.49333333333333335
136493,,1,0.4,0.6
144932,,1,0.43333333333333335,0.5666666666666667
38312,,1,0.48,0.52
72048,,0,0.57,0.43
133137,,0,0.61,0.39
145560,,0,0.5633333333333334,0.43666666666666665
101510,,1,0.45666666666666667,0.5433333333333333
60705,,0,0.55,0.45
15724,,1,0.4766666666666667,0.5233333333333333
134505,,0,0.5066666666666667,0.49333333333333335
101077,,0,0.5133333333333333,0.4866666666666667
28713,,1,0.4666666666666667,0.5333333333333333
132230,,0,0.5166666666666667,0.48333333333333334
103038,,0,0.61,0.39
27710,,0,0.5266666666666666,0.47333333333333333
105187,,0,0.5633333333333334,0.43666666666666665
95668,,0,0.5333333333333333,0.4666666666666667
107404,,1,0.49333333333333335,0.5066666666666667
121508,,0,0.5033333333333333,0.49666666666666665
158140,,1,0.4533333333333333,0.5466666666666666
64732,,0,0.5133333333333333,0.4866666666666667
122920,,0,0.5666666666666667,0.43333333333333335
59901,,0,0.52,0.48
100527,,1,0.4633333333333333,0.5366666666666666
109213,,1,0.49333333333333335,0.5066666666666667
172334,,0,0.56,0.44
115973,,0,0.5033333333333333,0.49666666666666665
100615,,0,0.6433333333333333,0.3566666666666667
62053,,1,0.49,0.51
120597,,0,0.5033333333333333,0.49666666666666665
15919,,0,0.57,0.43
108270,,1,0.45,0.55
138782,,0,0.53,0.47
177358,,0,0.5366666666666666,0.4633333333333333
94590,,0,0.5266666666666666,0.47333333333333333
84948,,1,0.48333333333333334,0.5166666666666667
136136,,0,0.5833333333333334,0.4166666666666667
138608,,1,0.44666666666666666,0.5533333333333333
170076,,1,0.4166666666666667,0.5833333333333334
58631,,0,0.56,0.44
69436,,0,0.5633333333333334,0.43666666666666665
4439,,1,0.44333333333333336,0.5566666666666666
107497,,1,0.49666666666666665,0.5033333333333333
64049,,1,0.43666666666666665,0.5633333333333334
23013,,0,0.59,0.41
54400,,1,0.46,0.54
13971,,1,0.48,0.52
27731,,1,0.44666666666666666,0.5533333333333333
152237,,1,0.4633333333333333,0.5366666666666666
152902,,0,0.5533333333333333,0.44666666666666666
85428,,0,0.54,0.46
134871,,1,0.49,0.51
156100,,0,0.53,0.47
94345,,1,0.47333333333333333,0.5266666666666666
111426,,0,0.6,0.4
45299,,0,0.5,0.5
65306,,0,0.5,0.5
29646,,1,0.37,0.63
158071,,1,0.47,0.53
4108,,1,0.44333333333333336,0.5566666666666666
80640,,1,0.42333333333333334,0.5766666666666667
151798,,0,0.5233333333333333,0.4766666666666667
102074,,1,0.47,0.53
103928,,1,0.45666666666666667,0.5433333333333333
55252,,0,0.6,0.4
93869,,0,0.5033333333333333,0.49666666666666665
57165,,1,0.47,0.53
61268,,1,0.47333333333333333,0.5266666666666666
4690,,0,0.5433333333333333,0.45666666666666667
105112,,0,0.5766666666666667,0.42333333333333334
96404,,0,0.54,0.46
30057,,0,0.55,0.45
15298,,0,0.5133333333333333,0.4866666666666667
22460,,0,0.5033333333333333,0.49666666666666665
59347,,0,0.5,0.5
91844,,0,0.5333333333333333,0.4666666666666667
15956,,1,0.42,0.58
69237,,1,0.45,0.55
155846,,0,0.5733333333333334,0.4266666666666667
37812,,0,0.56,0.44
108587,,0,0.5533333333333333,0.44666666666666666
107019,,0,0.57,0.43
69161,,0,0.5133333333333333,0.4866666666666667
45716,,1,0.4266666666666667,0.5733333333333334
55221,,0,0.5166666666666667,0.48333333333333334
100608,,1,0.43,0.57
55956,,0,0.52,0.48
135741,,0,0.5233333333333333,0.4766666666666667
45745,,1,0.4266666666666667,0.5733333333333334
15909,,0,0.51,0.49
99402,,0,0.58,0.42
43571,,1,0.4666666666666667,0.5333333333333333
100677,,0,0.5766666666666667,0.42333333333333334
161931,,0,0.5433333333333333,0.45666666666666667
112338,,0,0.57,0.43
140002,,1,0.39,0.61
137192,,1,0.45,0.55
148580,,1,0.38666666666666666,0.6133333333333333
61107,,0,0.5066666666666667,0.49333333333333335
145762,,0,0.5133333333333333,0.4866666666666667
100636,,1,0.46,0.54
62975,,0,0.5533333333333333,0.44666666666666666
